Model,TOPSIS Score
BlenderBot,0.5091885340893135
GPT-4,0.504599109376448
Gemini-1.5,0.48765969564216705
GPT-3.5,0.4781057429706088
Mistral-7B,0.4776605420261581
Claude-2,0.46275572045851393
DialoGPT,0.46203532235313294
T5,0.4323278881414177
LLaMA-2,0.39868757810933514
